year,sex,name,n,rank,nation
1999,M,Liam,4350,17,England & Wales
1999,F,Courtney,2485,18,England & Wales
1999,F,Eleanor,2485,18,England & Wales
1999,M,George,4286,18,England & Wales
1999,M,Oliver,3958,19,England & Wales
1999,F,Abigail,2397,20,England & Wales
1999,M,Alexander,3951,20,England & Wales
1999,F,Shannon,2350,21,England & Wales
1999,M,Adam,3931,21,England & Wales
1999,F,Molly,2313,22,England & Wales
1999,M,Connor,3786,22,England & Wales
1999,F,Holly,2189,23,England & Wales
1999,M,Jake,3427,23,England & Wales
1999,F,Jade,2148,24,England & Wales
1999,M,Cameron,3181,24,England & Wales
1999,F,Caitlin,2072,25,England & Wales
1999,M,Nathan,2870,25,England & Wales
1999,F,Alice,1962,26,England & Wales
1999,M,Michael,2869,26,England & Wales
1999,F,Ella,1881,27,England & Wales
1999,M,Kieran,2777,27,England & Wales
1999,F,Grace,1867,28,England & Wales
1999,M,Jacob,2746,28,England & Wales
1999,F,Laura,1846,29,England & Wales
1999,M,Mohammed,2722,29,England & Wales
1999,F,Rachel,1775,30,England & Wales
1999,M,Jamie,2500,30,England & Wales
1999,F,Sarah,1733,31,England & Wales
1999,M,Ben,2485,31,England & Wales
1999,F,Leah,1715,32,England & Wales
1999,M,Charlie,2350,32,England & Wales
1999,F,Elizabeth,1652,33,England & Wales
1999,M,Bradley,2336,33,England & Wales
1999,F,Amber,1595,34,England & Wales
1999,M,Brandon,2298,34,England & Wales
1999,F,Jasmine,1550,35,England & Wales
1999,M,Owen,2201,35,England & Wales
1999,F,Natasha,1527,36,England & Wales
1999,M,Aaron,2151,36,England & Wales
1999,F,Amelia,1511,37,England & Wales
1999,M,Kyle,1999,37,England & Wales
1999,F,Phoebe,1431,38,England & Wales
1999,M,Christopher,1937,38,England & Wales
1999,F,Anna,1369,39,England & Wales
1999,M,Robert,1853,39,England & Wales
1999,F,Victoria,1335,40,England & Wales
1999,M,Ethan,1772,40,England & Wales
1999,F,Paige,1313,41,England & Wales
